SCHLUESSEL,BERUFINT
20406,Aalräucherer/-räucherin
20407,Facharbeiter/in - Lebensmitteltechnik (Fischverarb
20408,Lachsschneider/in
20409,Lachsräucherer/-räucherin
20410,Marinierer/in
20411,Heringsbrater/in
20412,Seelachsschneider/in
20413,Fischbrater/in
20414,Fischröster/in
20415,Fischwerker/in
20416,Fischfroster/in
20417,Fischeinleger/in
20418,Fischfiletierer/in
20419,Fischmarinierer/in
20420,Fischzubereiter/in
20421,Fischverarbeiter/in
20422,Fischfacharbeiter/in
20423,Fischkonservierer/in
20424,Filetierer/in (Fisch)
20425,Fischräucherer/-räucherin
20426,Brater/in (Fischverarbeitung)
20427,Räucherer/Räucherin (Fisch)
20428,Lebensmitteltechniker/in - Fischtechnik
20429,Techniker/in - Fischtechnik
20430,Fischtechniker/in
20431,Backsteinkäser/in
20432,Facharbeiter/in - Milchwirtschaft (Käserei)
20433,Facharbeiter/in - Milchwirtschaft (Trinkmilch)
20434,Facharbeiter/in - Milchwirtschaft (Dauermilch)
20435,Handkäser/in
20436,Hartkäser/in
20437,Pasteurisierer/in
20438,Sauermilchkäser/in
20439,Sahneeishersteller/in
20440,Vakuumapparatesteuerer/-steuerin (Milchverarbeitun
20441,Schmelzkäser/in
20442,Meier/in
20443,Meierist/in
20444,Verdampfersteuerer/-steuerin (Milchverarbeitung)
20445,Weichkäser/in
20446,Zentrifugenwärter/in (Milchverarbeitung)
20447,Eiskonditor/in
20448,Eishersteller/in
20449,Eiscremehersteller/in
20450,Milchkäser/in
20451,Milchpulvermacher/in
20452,Milchproduktmischer/in
20453,Milchtechnologe/-technologin
20454,Homogeniseur/in
20455,Joghurtbereiter/in
20456,Kondensmilchsieder/in
20457,Molkereifachmann/-frau
20458,Molkereifacharbeiter/in
20459,Molkerei- und Käsereifacharbeiter/in
20460,Speiseeishersteller/in
20461,Fruchteishersteller/in
20462,Kräuterkäsebereiter/in
20463,Sterilisierer/in (Milchverarbeiter/in)
20464,Buttermeier/in
20465,Buttereifachkraft
20466,Buttereifachmann/-frau
20467,Quarkmacher/in
20468,Käser/in
20469,Käsesalzer/in
20470,Käseformer/in
20471,Käsebäcker/in
20472,Käseschmelzer/in
20473,Techniker/in - Molkereiwesen
20474,Techniker/in - Milchwirtschaft
20475,Techniker/in - Milchwirtschaft und Molkereiwesen
20476,Milchtechniker/in
20477,Milcherzeugerberater/in
20478,Milchwirtschaftstechniker/in
20479,Milch- und Molkereitechniker/in
20480,Milch- und Molkereiwirtschafter/in
20481,Milchwirtschaftliche/r Fachberater/in
20482,Milch- und Molkereiwirtschaftstechniker/in
20483,Milchwirtschafts- und Molkereiwesenstechniker/in
20484,Wirtschafter/in - Milchwirtschaft und Molkereiwese
20485,Molkereitechniker/in
20486,Molkereiinstruktor/in
20487,Molkereifachberater/in
20488,Molkereiwesenstechniker/in
20489,Erzeugerberater/in - Milchwirtschaft
20490,Fachkraft - Süßwarentechnik
20491,Fachkraft - Süßwarentechnik - Konfekt
20492,Fachkraft - Süßwarentechnik - Schokolade
20493,Fachkraft - Süßwarentechnik - Zuckerwaren
20494,Kaltbäcker/in
20495,Kakaomahler/in
20496,Kakaomüller/in
20497,Kakaopresser/in
20498,Kakaobohnenröster/in
20499,Kaugummihersteller/in
20500,Marzipanbäcker/in
20501,Maschinenbediener/in - Zucker-
20502,Schokolatier
20503,Schokoladenwarenhersteller/in
20504,Schokoladenwarenfacharbeiter/in
20505,Schokoladenmaschinenbediener/in
20506,Sieder/in (Zucker-
20507,Bläser/in (Zuckerhersteller/in)
20508,Bonbonmacher/in
20509,Bonbon- und Konfektmacher/in
20510,Honigkocher/in
20511,Konfektmacher/in
20512,Konfekthersteller/in
20513,Konfektfacharbeiter/in
20514,Brausepulverhersteller/in
20515,Drageehersteller/in
20516,Pralinenposten
20517,Pralinenbacker/in
20518,Pralinenmacher/in
20519,Pralinenhersteller/in
20520,Stärkezuckermacher/in
20521,Puderzuckermüller/in
20522,Zuckerkocher/in
20523,Zuckermüller/in
20524,Zuckerraffinierer/in
20525,Zuckerstangenmacher/in
20526,Zuckerwarenfacharbeiter/in
20527,Zucker-
20528,Süßwarenhersteller/in
20529,Süßwarenfacharbeiter/in
20530,Süßwarenmaschinensteuerer/-steuerin
20531,Süßwarenfacharbeiter/in - Zuckerwaren
20532,Süßwarenfacharbeiter/in - Kakaoerzeugnisse
20533,Würfelzuckerhersteller/in
20534,Zuckertechniker/in
20535,Zuckerfabriktechniker/in
20536,Süßwarentechniker/in
20537,Kautabakarbeiter/in
20538,Rauchtabakmacher/in
20539,Tabakprüfer/in
20540,Tabakmischer/in
20541,Tabakpresser/in
20542,Tabaktrockner/in
20543,Tabakaufbereiter/in
20544,Tabakwarenmacher/in
20545,Tabakfacharbeiter/in
20546,Tabakfermentierer/in
20547,Tabakmaschinenbediener/in
20548,Tabakwarenherstellungshelfer/in
20549,Schnupftabakarbeiter/in
20550,Wickelmacher/in (Zigarrenmacher/in)
20551,Zigarrenmacher/in
20552,Zigarillomacher/in
20553,Zigarettenmacher/in
20554,Zigarettenhersteller/in
20555,Zigarrenmaschinenführer/in
20556,Zigarrenbanderolenkleber/in
20557,Zigarettenmaschinenführer/in
20558,Zigarillomaschinenarbeiter/in
20559,Stumpenwickelmacher/in
20560,Techniker/in - Tabakwaren
20561,Bananentrockner/in
20562,Backpulvermacher/in
20563,Darrer/in (Fertiggerichte-
20564,Facharbeiter/in - Lebensmitteltechnik (Speiseöl)
20565,Kaffeemüller/in
20566,Kaffeeröster/in
20567,Kaffeemälzer/in
20568,Kaffeemischer/in
20569,Kaffeebrenner/in
20570,Kaffeeverleser/in
20571,Kaffeesortierer/in
20572,Kartoffelflocker/in
20573,Kartoffelmehlmacher/in
20574,Kartoffelchipsröster/in
20575,Kartoffelverarbeiter/in
20576,Marmeladenkocher/in
20577,Mayonnaisemacher/in
20578,Margarinehersteller/in
20579,Margarine- und Speiseölfacharbeiter/in
20580,Margarine- und Speisefettfacharbeiter/in
20581,Paprikabereiter/in
20582,Raffinierer/in (Fettverarbeitung)
20583,Obstpresser/in
20584,Obstkonservierer/in
20585,Obst- und Gemüsekonservierer/in
20586,Fettkocher/in
20587,Feinkostfachmann/-frau
20588,Fertiggerichtekonservierer/in
20589,Gemüsekocher/in
20590,Gewürzmüller/in
20591,Gefriertrockner/in
20592,Gemüsezubereiter/in
20593,Gemüsekonservierer/in
20594,Gefrierkonservierer/in
20595,Leinölhersteller/in
20596,Reismüller/in
20597,Senfmacher/in
20598,Senfmüller/in
20599,Teebereiter/in
20600,Teesortierer/in
20601,Chipsröster/in
20602,Sieder/in (Fettverarbeitung)
20603,Tiefkühlkonservierer/in
20604,Tiefkühlkosthersteller/in
20605,Blanchierer/in (Obst-
20606,Ölmahler/in
20607,Ölmüller/in
20608,Ölpresser/in
20609,Ölraffinierer/in
20610,Instanteur/in
20611,Konservenkocher/in
20612,Konservenfroster/in
20613,Konservierungserhitzer/in
20614,Konservierungsgutfroster/in
20615,Konservierer/in - Lebensmittel
20616,Konservierungsmaschinenführer/in
20617,Konservierungsgutzurichter/in
20618,Kocher/in (Fertiggerichte-
20619,Mohnmüller/in
20620,Speisefettsieder/in
20621,Speisefettschmelzer/in
20622,Speiseölfacharbeiter/in
20623,Speisefetthersteller/in
20624,Fruchtkocher/in
20625,Fruchtpresser/in
20626,Presser/in (Öl)
20627,Trockenhefearbeiter/in
20628,Essigbereiter/in
20629,Stärkehersteller/in
20630,Stärkefacharbeiter/in
20631,Sterilisierer/in (Fertiggerichtekonservierer/in)
20632,Nudelmacher/in
20633,Puddingpulvermacher/in
20634,Suppenmischer/in
20635,Röster/in (Kartoffelchips)
20636,Obstverwertungstechniker/in
20637,Feinkosttechniker/in
20638,Fertiggerichtetechniker/in
20639,Feinkost- und Fertiggerichtetechniker/in
20640,Lebensmitteltechniker/in - Feinkost und Fertiggeri
20641,Techniker/in - Konserventechnik
20642,Techniker/in - Obst- und Gemüseverwertung
20643,Techniker/in - Feinkost und Fertiggerichte
20644,Techniker/in - Lebensmitteltechnik (Konserventechn
20645,Techniker/in - Technologie der Fertiggerichte und
20646,Konserventechniker/in
20647,Master of Science - Milchwissenschaft und -technol
20648,Milchwirtschaftsingenieur/in
20649,Ingenieur/in - Milchwirtschaft
20650,Ingenieur/in - Obst- und Gemüseverwertung
20651,Zuckeringenieur/in
20652,Zuckerfabrikingenieur/in
20653,Backmeister/in
20654,Bananenreifemeister/in
20655,Backwarenhandwerksmeister/in
20656,Handwerksmeister/in - Bäckerei
20657,Handwerksmeister/in - Müllerei
20658,Handwerksmeister/in - Konditorei
20659,Handwerksmeister/in - Fleischerei
20660,Handwerksmeister/in - Nährmittelherstellung
20661,Abteilungsleiter/in (Milchwirtschaft)
20662,Abteilungsleiter/in (Fleisch - Wurst - Fleischwirt
20663,Obst- und Gemüseverarbeitungsmeister/in
20664,Schlachtermeister/in
20665,Schlächtermeister/in
20666,Schlachthofaufseher/in
20667,Schlachthofverwalter/in
20668,Feinkostmeister/in
20669,Lebküchlermeister/in
20670,Meisterkäser/in
20671,Meisterbäcker/in
20672,Metzgermeister/in
20673,Meister/in - Brot
20674,Meister/in - Bäckerhandwerk
20675,Meister/in - Müllerhandwerk
20676,Meister/in - Mühlenindustrie
20677,Meister/in - Konditorhandwerk
20678,Meister/in - Molkereihandwerk
20679,Meister/in - Zuckerproduktion
20680,Meister/in - Fischverarbeitung
20681,Meister/in - Fleischerhandwerk
20682,Meister/in - Süßwarenindustrie
20683,Meister/in - Tabakverarbeitung
20684,Meister/in - Getreidewirtschaft
20685,Meister/in - Lebensmittelindustrie
20686,Meister/in - Mischfutterproduktion
20687,Meister/in - Kaffee- und Teeverarbeitung
20688,Meister/in - Obst- und Gemüseverarbeitung
20689,Meister/in - Öl- und Margarineherstellung
20690,Meister/in - Back- und Teigwarenproduktion
20691,Meister/in - Spiritus- und Hefeherstellung
20692,Meister/in - Be- und Verarbeitung von Körnerfrücht
20693,Meister/in - Stärkeproduktion und Kartoffelveredel
20694,Meister/in - Be- und Verarbeitung von pflanzlichen
20695,Zerlegemeister/in (Fleischwirtschaft)
20696,Ofenmeister/in (Backwarenherstellung)
20697,Fischverarbeitungsmeister/in
20698,Milchwirtschaftsmeister/in
20699,Milch- und Molkereiwirtschaftsmeister/in
20700,Fleischermeister/in
20701,Fleischverarbeitungsmeister/in
20702,Öl- und Margarineherstellungsmeister/in
20703,Industriebackmeister/in
20704,Industriemeister/in - Süßwaren
20705,Industriemeister/in - Backwaren
20706,Industriemeister/in - Lebensmittel
20707,Industriemeister/in - Dauerbackwaren
20708,Industriemeister/in - Fischverarbeitung
20709,Konditormeister/in
20710,Konservierungsmeister/in
20711,Molkereimeister/in
20712,Molkereiwirtschaftsmeister/in
20713,Roßschlächtermeister/in
20714,Zuckerbäckermeister/in
20715,Zuckerproduktionsmeister/in
20716,Bäckermeister/in
20717,Bäcker- und Konditormeister/in
20718,Käsemeister/in
20719,Käsermeister/in
20720,Müllermeister/in
20721,Backstubenleiter/in
20722,Leiter/in - Konservenherstellung
20723,Molkereileiter/in
20724,Pantryboy
20725,Pantrymann/-frau
20726,Pantrysteward/-stewardess
20727,Gemüseputzer/in
20728,Gemüseschäler/in
20729,Helfer/in - Küche
20731,Kochhilfe
20732,Kochhelfer/in
20733,Kochgehilfe/-gehilfin
20734,Pommes-frites-Macher/in
20735,Spargelschäler/in
20736,Aushilfskraft (Küche)
20737,Küchenhilfe
20738,Küchenhelfer/in
20739,Küchengehilfe/-gehilfin
20740,Kasinokoch/-köchin
20741,Kantinenkoch/-köchin
20742,Lagerkoch/-köchin
20743,Mannschaftskoch/-köchin
20744,Nachtkoch/-köchin
20745,Partyservicekoch/-köchin
20746,Partiechef/in (Koch/Köchin)
20747,Abteilungskoch/-köchin
20748,Schiffskoch/-köchin
20749,Beikoch/-köchin
20750,Demichef tournant
20751,Demichef de partie
20752,Demichef (Koch/Köchin)
20753,Decksmann/-frau - Koch
20754,Gemeinschaftskoch/-köchin
20755,Messekoch/-köchin
20756,Personalkoch/-köchin
20757,Pensionskoch/-köchin
20758,Restaurantkoch/-köchin
20759,Teilkoch/köchin
20760,Werkskantinenkoch/-köchin
20761,Pfarrerskoch/-köchin
20762,Hilfskoch/-köchin
20764,Commis tournant
20765,Commis de partie
20766,Commis de banquet
20767,Commis de cuisine
20768,Commis (Koch/Köchin)
20769,Hotelkoch/-köchin
20770,Kochmaat
20771,Kochcommis
20772,Koch/Köchin
20773,Kochmamsell
20774,Koch-Tournant
20775,Kochassistent/in
20776,Kochsteward/-stewardess
20777,Speisewagenkoch/-köchin
20778,Spezialitätenkoch/-köchin
20779,Gruppenkoch/-köchin
20780,Großküchenkoch/-köchin
20781,Privatkoch/-köchin
20782,Traiteur/in
20783,Assistent/in - Küchenbrigade
20784,Aushilfskoch/-köchin
20785,Jungkoch/-köchin
20786,Küchenfachkraft
20787,Gardemanger
20788,Kaltmamsell
20789,Kalte Mamsell
20790,Kaltspeisenkoch/-köchin
20791,Saladier
20792,Salater/in
20793,Salatkoch/-köchin
20794,Demichef gardemanger
20795,Demichef hors doeuvrier
20796,Mehlspeisenkoch/-köchin
20797,Anrichtekoch/-köchin
20798,Commis gardemanger
20799,Commis hors doeuvrier
20800,Koch/Köchin und Konditor/in
20801,Vorspeisenkoch/-köchin
20802,Süßspeisenkoch/-köchin
20803,Demichef grilleur
20804,Demichef rotisseur
20805,Demichef poissonnier
20806,Pfannenkoch/-köchin
20807,Fischkoch/-köchin
20808,Commis grilleur
20809,Commis rotisseur
20810,Commis poissonnier
20811,Poissonnier/in
20812,Rotisseur/in
20813,Soßenkoch/-köchin
20814,Bratenkoch/-köchin
20815,Grillardin
20816,Griller/in
20817,Grilleur/in
20818,Grillkoch/-köchin
20819,Saucier
20820,Beilagenkoch/-köchin
20821,Demichef saucier
20822,Demichef entremetier
20823,Gemüsekoch/-köchin
20824,Legumier
20825,Regimier
20826,Diätkoch/-köchin
20827,Diätetisch geschulte/r Koch/Köchin
20828,Entremetier
20829,Commis saucier
20830,Commis entremetier
20831,Vollwertkoch/-köchin
20832,Bratwurstbrater/in
20833,Suppenkoch/-köchin
20834,Oberkoch/-köchin
20835,Chef potager
20836,Chef saucier
20837,Chef grilleur
20838,Chef tournant
20839,Chef de partie
20840,Chef rotisseur
20841,Chef grillardin
20842,Chef entremetier
20843,Chef gardemanger
20844,Chefkoch/-köchin
20845,Chef restaurateur
20846,Chef de la cuisine
20847,Chef hors doeuvrier
20848,Chef poissonnier/in
20849,Sous-Chef/in
20850,Küchenmeister/in
20851,Küchenvorsteher/in
20852,Leiter/in - Diätküche
20853,Versuchsküchenleiter/in
20854,Chef executive (Küchenchef)
20855,Diätküchenleiter/in
20856,Executive Chef (Küchenchef)
20857,Küchenchef/in
20858,Küchenleiter/in
20859,Küchendirektor/in
20860,Küchenleiter/in - Catering
20861,Küchenleiter/in - Diätküche
20862,Küchendirektor/in (Gaststätte
20863,Bauassistent/in
20864,Bauvorarbeiter/in
20865,Bautechnische/r Assistent/in
20866,Techn. Assistent/in - Bautechnik
20867,Ingenieurassistent/in - Bautechnik
20868,Assistent/in - Bauwesen
20869,Assistent/in - Bautechnik
20870,Assistent/in - Datenverarbeitung (Bauwesen)
20871,Bautechniker/in
20872,Baustellentechniker/in
20873,Baubetriebstechniker/in
20874,Bachelor of Science- Bauingenieurwesen
20875,Bachelor of Civil Engineering - Bauingenieurwesen
20876,Beamter/Beamtin - Gehobener bautechnischer Dienst
20877,Techniker/in - Bautechnik
20878,Techniker/in - Baubetrieb
20879,Techniker/in - Bautechnologie
20880,Techniker/in - Baukonstruktion
20881,Techniker/in - Bautechnik (Baubetrieb)
20882,Siedlungstechniker/in
20883,Projektassistent/in - Bau
20884,Bauingenieur/in
20885,Baubetriebsingenieur/in
20886,Baubetriebsüberwacher/in
20887,Bauinformatiker/in (Hochschule)
20888,Master of Science - Bauingenieurwesen
20889,Master of Science - Structural Engineering
20890,Master of Civil Engineering - Bauingenieurwesen
20891,Master of Engineering - Bauwesen/Fassadenkonstrukt
20892,Master of Science - International Projektmanagemen
20893,Beamter/Beamtin - Höherer bautechnischer Dienst
20894,Ingenieur/in - Bau
20895,Ingenieur/in - Ingenieurbau
20896,Ingenieur/in - Bau (Bauinformatik)
20897,Ingenieur/in - Vorfertigung im Bauwesen
20898,Ingenieur/in - Bau (allgemeines Bauwesen)
20899,Prüfstatiker/in
20900,Statiker/in
20901,Objektplaner/in (Architekt/in)
20902,Ingenieur/in - Architektur
20903,Architekt/in
20904,Landesplaner/in
20905,Master of Arts - Stadt- und Regionalentwicklung
20906,Raumplaner/in
20907,Bezirksplaner/in
20908,Regionalplaner/in
20909,Siedlungsplaner/in
20910,Ingenieur/in - Städtebau
20911,Ingenieur/in - Raumplanung
20912,Ingenieur/in - Regionalplanung
20913,Ingenieur/in - Raum- und Umweltplanung
20914,Ingenieur/in - Gebiets- und Stadtplanung
20915,Ingenieur/in - Stadt- und Regionalplanung
20916,Freiraumplaner/in
20917,Ortsplaner/in
20918,Stadtplaner/in
20919,Städtebauplaner/in
20920,Städtebauarchitekt/in
20921,Städtebauingenieur/in
20922,Stadtentwicklungsplaner/in
20923,Fachmann/-frau - Straßentechnik
20924,Fachmann/-frau - Verkehrstechnik
20925,Fachkraft - Straßen- und Verkehrstechnik
20926,Bautechniker/in - Verkehrsbau
20927,Bauingenieur/in (FS) - Straßenbau
20928,Bauingenieur/in (FS) - Brückenbau
20929,Bauingenieur/in (FS) - Eisenbahnbau
20930,Techniker/in - Brückenbau
20931,Techniker/in - Verkehrsbau
20932,Techniker/in - Tief- und Verkehrsbau
20933,Techniker/in - Bautechnik (Verkehrsbau)
20934,Verkehrsbautechniker/in
20935,Straßenbautechniker/in
20936,Bauingenieur/in - Verkehr
20937,Ingenieur/in - Bau (Verkehr)
20938,Ingenieur/in - Straßenbau/-verkehr
20939,Brückenbauingenieur/in
20940,Fachkraft - Wasserwirtschaft
20941,Fachmann/-frau - Wasserwirtschaft
20942,Technische Fachkraft (Wasserwirtschaft)
20943,Bautechniker/in - Wasserwirtschaftsverwaltung
20944,Wasserwirtschaftsingenieur/in (FS) - Wasserbewirts
20945,Wasserwirtschaftsingenieur/in (FS) - Wasserversorg
20946,Wasserwirtschaftsingenieur/in
20947,Ingenieur/in - Wasserwirtschaft
20948,Ingenieur/in - Siedlungswasserwirtschaft
20949,Ingenieur/in - Wasserwirtschaft und Kulturtechnik
20950,Maurer/in - Altbausanierung
20951,Denkmaltechnische/r Assistent/in
20952,Assistent/in - Denkmaltechnik
20953,Bauwerkserhalter/in
20954,Bausanierungstechniker/in
20955,Bauerneuerungstechniker/in
20956,Bauwerkerhaltungstechniker/in
20957,Bautechniker/in - Denkmalpflege
20958,Baudenkmalpfleger/in (Techniker/in)
20959,Baudenkmalpfleger/in (Heimatpfleger/in)
20960,Bautechniker/in - Bauerneuerung/Bausanierung
20961,Bautechniker/in - Baudenkmalpflege/Altbauerneuerun
20962,Fachkraft - Bauwerkserhaltung
20963,Fachkraft - Bauwerkinstandsetzung
20964,Restaurator/in - Bauwirtschaft
20965,Techniker/in - Bausanierung
20966,Techniker/in - Bauerneuerung
20967,Techniker/in - Baudenkmalpflege/Altbauerneuerung
20968,Techniker/in - Bautechnik (Bauerneuerung/Bausanier
20971,Baudenkmalpfleger/in (Architekt/in)
20972,Master of Arts - Bauen und Erhalten
20973,Baustellenprüfer/in
20974,Baustellenkontrolleur/in
20975,Bauaufseher/in (Baukontrolle)
20976,Baukontrolleur/in (Sicherheitskontrolleur/in)
20977,Fachberater/in - Bau
20978,Fachkraft - ökologisches Bauen
20979,Sicherheits- und Gesundheitskoordinator/in
20980,Bauforscher/in
20981,Bauphysiker/in
20982,Bausachverständige/r
20983,Baubiologe/-biologin
20984,Bauökologe/-ökologin
20985,Bautechnische/r Berater/in
20986,Baumineraloge/-mineralogin
20987,Ingenieur/in - Bauphysik
20988,Baufachwirt/in
20989,Bauabrechner/in
20990,Baukalkulator/in
20991,Baustellenrechner/in
20992,Baukostenschätzer/in
20993,Bau- und Projektkaufmann/-frau
20994,Fachwirt/in - Bau
20995,Baubetriebswirt/in (Hochschule)
20996,Betriebswirt/in (Hochschule) - Bauwirtschaft
20997,Bauführer/in
20998,Bauwächter/in
20999,Baumeister/in
21000,Baustellenaufseher/in
21001,Baukontrollmeister/in
21002,Meister/in - Bauwerkerhaltung
21003,Verkehrsbaumeister/in
21004,Industriemeister/in - Bau
21005,Montageleiter/in
21006,Montagemeister/in
21007,Montagebaumeister/in
21008,Stadtbaumeister/in
21009,Bauleiter/in
21010,Bauunternehmer/in
21011,Baustellenleiter/in
21012,Bauleiter/in (Architekt/in)
21013,Bauleiter/in (Bauingenieur/in)
21014,Oberbauleiter/in
21015,Markscheiderassistent/in
21016,Bergvermessungstechniker/in
21017,Beamter/Beamtin - Vermessungswesen (mittl. techn.
21018,Seevermessungsmatrose
21019,Vermessungsassistent/in
21020,Vermessungstechniker/in - Vermessung
21021,Vermessungstechniker/in - Bergvermessung
21022,Vermessungstechniker/in (ohne Fachrichtungen)
21023,Vermessungsbeamter/-beamtin (mittl. techn. Dienst)
21024,Flurbereinigungstechniker/in
21025,Flurbereinigungsbeamter/-beamtin (mittl. techn. Di
21026,Bauvermessungstechniker/in
21027,Katastertechniker/in
21028,Landschafts- und Dorfplaner/in (Flurbereinigung)
21029,Markscheidetechniker/in
21030,Bergvermesser/in
21031,Beamter/Beamtin - Flurbereinigung (geh. techn. Die
21032,Beamter/Beamtin - Vermessungswesen (geh. techn. Di
21033,Seevermessungstechniker/in
21034,Techniker/in - Geodäsie
21035,Techniker/in - Bauvermessung
21036,Techniker/in - Markscheidetechnik
21037,Techniker/in - Vermessungstechnik
21038,Techniker/in - Seevermessungstechnik
21039,Techniker/in - Bergvermessungstechnik
21040,Vermessungskontrolleur/in
21041,Vermessungstechniker/in (Techniker/in)
21042,Vermessungs- und Landkartentechniker/in
21043,Vermessungsbeamter/-beamtin (geh. techn. Dienst)
21044,Liegenschaftsvermesser/in
21045,Flurbereinigungsbeamter/-beamtin (geh. techn. Dien
21046,Topograf/in
21047,Trigonometer/in
21048,Landvermessungsingenieur/in
21049,Sachverständige/r - Arrondierung
21050,Wasservermessungsingenieur/in
21051,Bergvermessungsingenieur/in
21052,Bergbauvermessungsingenieur/in
21053,Beamter/Beamtin - Vermessungswesen (höh. techn. Di
21054,Geometer/in
21055,Geodät/in (Uni)
21056,Seevermessungsingenieur/in
21057,Vermessungsingenieur/in
21058,Vermessungsbeamter/-beamtin (höh. techn. Dienst)
21059,Flurbereinigungsingenieur/in
21060,Ingenieur/in - Geodäsie
21061,Ingenieur/in - Markscheidewesen
21062,Ingenieur/in - Vermessungswesen
21063,Arrondierungssachverständige/r
21064,Kartograf/in
21065,Katasterzeichner/in
21066,Kartografische/r Zeichner/in
21067,Landkartenzeichner/in
21068,Bergvermessungszeichner/in
21069,Geomatiker/in
21070,Geovisualisierer/in
21071,Vermessungszeichner/in
21072,Zeichner/in - Kartografie
21073,Fotogrammeter/in
21074,Assistent/in - Geovisualisierung
21075,Kartentechniker/in
21076,Techniker/in - Kartografie
21077,Luftbildtechniker/in
21078,Kartografieingenieur/in
21079,Ingenieur/in - Kartografie
21080,Ingenieur/in - Landkartentechnik
21081,Luftfotogeodät/in
21082,Bauhelfer/in
21083,Bauhilfsarbeiter/in
21084,Bauhelfer/in - Hochbau
21085,Dachdeckerhelfer/in
21086,Maurerhelfer/in
21087,Abbrucharbeiter/in
21088,Betonbauerhelfer/in
21089,Gerüstbauerhelfer/in
21090,Helfer/in - Bau
21091,Helfer/in - Hochbau
21092,Helfer/in - Gerüstbau
21093,Hochbauhelfer/in
21094,Mörtelbereiter/in
21095,Bauarbeiter/in
21096,Baufacharbeiter/in
21097,Facharbeiter/in - Hochbau
21098,Fertigbaufacharbeiter/in
21099,Fertighausmonteur/in (Beton)
21100,Hochbauvorarbeiter/in
21101,Hochbaufacharbeiter/in
21102,Monteur/in - Fertighäuser (Beton)
21103,Spezialbaufacharbeiter/in (Hochbau)
21104,Bautechniker/in - Hochbau
21105,Bautechniker/in - Ingenieurhochbau
21106,Beamter/Beamtin - Hochbau (geh. techn. Dienst)
21107,Restaurator/in - Hochbau
21108,Techniker/in - Bautechnik (Hochbau)
21109,Techniker/in - Hoch- und Industriebau
21110,Hochbautechniker/in
21111,Bauingenieur/in - Hochbau
21112,Betonbauingenieur/in
21113,Beamter/Beamtin - Hochbau (höh. techn. Dienst)
21114,Eisenbetoningenieur/in
21115,Ingenieur/in - Bau (Hochbau)
21116,Hochbauingenieur/in
21117,Baufacharbeiter/in - Beton-
21118,Garagenfertiger/in
21119,Gasbetonmonteur/in
21120,Sanierer/in (Beton)
21121,Schaler/in
21122,Schalungssetzer/in (Betonbau)
21123,Betonbauer/in
21124,Betonierer/in
21125,Betonschaler/in
21126,Betonsanierer/in
21127,Betonspritzer/in
21128,Betoneinschaler/in
21129,Betonstahlbieger/in
21130,Betonfacharbeiter/in
21131,Betonstahlflechter/in
21132,Betonbauvorarbeiter/in
21133,Betonbaufacharbeiter/in
21134,Betonfertighausmonteur/in
21135,Betonfertigteilemontierer/in
21136,Beton- und Stahlbetonbauer/in
21137,Betonstahlbieger/in und -flechter/in
21138,Verschaler/in
21139,Zementierer/in (Betonbau)
21140,Einschaler/in
21141,Eisenleger/in
21142,Eisenbinder/in
21143,Eisenbieger/in
21144,Eisenflechter/in
21145,Eisenbetonbauer/in
21146,Hochbaufacharbeiter/in - Beton- und Stahlbetonbaua
21147,Rohbaumonteur/in
21148,Spannbetonmonteur/in
21149,Treppenbauer/in (Stein
21150,Treppenbaumonteur/in (Stein
21151,Stahlflechter/in
21152,Stahlbetonbauer/in
21153,Stahlbetonbaufacharbeiter/in
21154,Bautechniker/in - Betonbau
21155,Bautechniker/in - Stahlbetonbau
21156,Betontechniker/in
21157,Beton- und Stahlbetonbautechniker/in
21158,Techniker/in - Betonbau
21159,Techniker/in - Stahlbetonbau
21160,Techniker/in - Bautechnik (Stahlbetonbau)
21161,Eisenbetontechniker/in
21162,Stahlbetontechniker/in
21163,Baufacharbeiter/in - Maurerarbeiten
21164,Kanalmaurer/in
21165,Maurer/in
21166,Natursteinmaurer/in
21167,Schachtmaurer/in
21168,Verfuger/in
21169,Anlegmaurer/in
21170,Hochbaufacharbeiter/in - Maurerarbeiten
21171,Bruchsteinmaurer/in
21172,Treppenbaumaurer/in
21173,Ausbaumaurer/in
21174,Fuger/in
21175,Fachkraft - Lehmbau
21176,Maurer/in - Restaurierungsarbeiten
21177,Restaurator/in - Maurerhandwerk
21178,Kaminmaurer/in
21179,Kaminsanierer/in
21180,Kaminbauer/in (Schornsteinbau)
21181,Schlotmaurer/in
21182,Schornsteinbauer/in
21183,Schornsteinmaurer/in
21184,Schornsteinsanierer/in
21185,Feuerfestmaurer/in
21186,Feuerungsmaurer/in
21187,Feuerungs- und Schornsteinbauer/in
21188,Hochbaufacharbeiter/in - Feuerungs- und Schornstei
21189,Koksofenmaurer/in
21190,Dachdecker/in
21191,Dachdeckervorarbeiter/in
21192,Dachdecker/in - Reetdachtechnik
21193,Dachdecker/in - Dach-
21194,Schindeldachdecker/in
21195,Schieferdachdecker/in
21196,Ziegeldachdecker/in
21197,Flachdachdecker/in
21198,Strohdachdecker/in
21199,Fassadenbauer/in
21200,Fassadenmaurer/in
21201,Fassadendecker/in
21202,Fassadenmonteur/in
21203,Fassadenverkleider/in
21204,Blendsteinmaurer/in
21205,Klinkermaurer/in
21206,Außenwand- und Fassadenverkleider/in
21207,Baukletterer/-kletterin
21208,Gerüstbauer/in
21209,Gerüstbaumonteur/in
21210,Leitergerüstbauer/in
