Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
61924,A,2,21562,Grundierer/in (Maler- und Lackiererhelfe,1,800,
61526,I,1,,,1,702,
61526,I,1,,,1,712,
61690,A,2,158,Fachhelfer/in - Industrie,1,169,
62322,I,1,,,1,753,
62322,I,1,,,1,715,
62322,I,1,,,1,716,
62134,I,1,,,1,760,
62166,I,1,,,1,731,
62417,A,1,,,1,118,
62417,A,1,,,1,178,
62449,A,1,,,1,800,
62449,A,1,,,1,155,
62449,A,1,,,1,118,
62449,A,1,,,1,178,
61482,I,1,,,1,740,
62483,B,1,,,1,113,
62483,B,1,,,1,182,
62483,B,1,,,1,183,
62483,B,1,,,1,184,
62483,B,1,,,1,166,
62483,B,1,,,1,178,
61367,T,1,,,1,701,
62539,A,1,,,1,113,
62539,A,1,,,1,155,
62539,A,1,,,1,157,
62539,A,1,,,1,118,
62539,A,1,,,1,178,
61458,I,1,,,1,720,
62448,A,2,20146,Lebensmittelherstellerhelfer/in,1,156,
62448,A,2,20146,Lebensmittelherstellerhelfer/in,1,178,
62146,I,1,,,1,173,
62146,I,1,,,1,157,
62146,I,1,,,1,178,
61420,A,2,130,Maschinen- und Anlagenführer/in,1,114,
61420,A,2,130,Maschinen- und Anlagenführer/in,1,155,
61420,A,2,130,Maschinen- und Anlagenführer/in,1,156,
61420,A,2,130,Maschinen- und Anlagenführer/in,1,118,
62023,A,2,10007,Produktionshelfer/in - Metall,1,175,
62023,A,2,10007,Produktionshelfer/in - Metall,1,156,
62023,A,2,10007,Produktionshelfer/in - Metall,1,177,
62023,A,2,10007,Produktionshelfer/in - Metall,1,168,
62023,A,2,10007,Produktionshelfer/in - Metall,1,178,
61365,T,2,158,Fachhelfer/in - Industrie,1,701,
62126,T,1,,,1,731,
61960,A,1,,,1,174,
61960,A,1,,,1,175,
61960,A,1,,,1,156,
61960,A,1,,,1,177,
61591,I,1,,,1,713,
61302,A,2,158,Fachhelfer/in - Industrie,1,172,
61302,A,2,158,Fachhelfer/in - Industrie,1,113,
61302,A,2,158,Fachhelfer/in - Industrie,1,118,
61945,A,1,,,1,155,
61945,A,1,,,1,177,
61945,A,1,,,1,119,
61529,I,1,,,1,720,
62240,A,1,,,1,800,
62240,A,1,,,1,156,
62240,A,1,,,1,166,
62240,A,1,,,1,177,
62240,A,1,,,1,118,
61929,I,1,,,1,751,
62059,I,1,,,1,714,
62429,I,1,,,1,761,
62438,B,1,,,1,113,
62109,T,2,24571,Auslieferungsfahrer/in (nicht Verkaufsfa,1,762,
61604,I,1,,,1,713,
62158,I,1,,,1,705,
62366,A,1,,,1,113,
62366,A,1,,,1,178,
60678,T,2,158,Fachhelfer/in - Industrie,1,113,
60678,T,2,158,Fachhelfer/in - Industrie,1,169,
60678,T,2,158,Fachhelfer/in - Industrie,1,715,
62005,I,1,,,1,731,
62507,I,1,,,1,716,
62303,B,1,,,1,113,
62303,B,1,,,1,157,
62303,B,1,,,1,108,
