SCHLUESSEL,BERUFINT,BERUFVERZ,RO,BESCHARTA,BESCHARTB,ENTSENDEG,BLTAETIGKEIT,TRFIELD,REPL_ID,REPL_DATABASE,IENTGELTGRUPPE,SSICHTBARINMAND,CSELEKTIONSKENNZEICHEN,IWEBPORTAL,SWEBPORTALTEXT,AUSGTAETIGKEITSSCHLUESSEL,AKTIV,WARNUNGMINDESTLOHN,HOCHSCHULBERUF,VORRAUSSETZUNG,LFDNRAUSGTAETIGKEIT,SWEBPORTALTEXT2,CFREMDSCHLUESSEL,AUTO_UEBERNAHME_PERSONAL,PROSOFT_RECRUITING_SOURCE_ID,DKZ_ID
101,Schweißer/in,Schweißer/in,N,241,,,,J,30772,1604123803,,,,,,24422,0,,,,5303,,,1,,2056
114,Zerspanungsmechaniker/in - Schleiftechnik,Zerspanungsmechaniker/in - Schleiftechnik,N,225,,,,J,30773,1604123803,,,,,,24222,1,,,,4594,,,1,,1902
701,Reiseverkehrskaufmann/-frau,Reiseverkehrskaufmann/-frau,N,702,,,,J,30774,1604123803,,,,,,63112,0,,,,16567,,,1,,35059
740,Chemielaborjungwerker/in,Chemielaborjungwerker/in,N,142,,,,J,30775,1604123803,,,,,,41322,0,,,,12691,,,1,,1167
750,Teilezurichter/in,Teilezurichter/in,N,285,,,,J,30776,1604123803,,,,,,24202,0,,,,4297,,,1,,2493
155,Feinwerkmechaniker/in,Feinwerkmechaniker/in,N,284,,,,J,30777,1604123803,,,,,,24512,0,,,,5420,,,1,,15170
760,Techniker/in - Umweltschutztechnik (Verfahrenstech,Techniker/in - Umweltschutzt. (Verfahrenstechnik),N,628,,,,J,30778,1604123803,,,,,,42203,0,,,,13004,,,1,,6029
780,Qualitätsbeauftragter/-beauftragte - Management,Qualitätsbeauftragter/-beauftragte - Management,N,752,,,,J,30779,1604123803,,,,,,27313,1,,,,8517,,,1,,29235
152,Werkzeugmechaniker/in - Stanz- und Umformtechnik,Werkzeugmechaniker/in - Stanz- und Umformtechnik,N,291,,,,J,30780,1604123803,,,,,,24522,1,,,,5607,,,1,,2519
109,Industriemechaniker/in - Produktionstechnik,Industriemechaniker/in - Produktionstechnik,N,285,,,,J,30781,1604123803,,,,,,24202,0,,,,4283,,,1,,2451
781,Qualitätsprüfer/in,Qualitätsprüfer/in,N,628,,,,J,30782,1604123803,,,,,,27312,1,,,,8472,,,1,,13959
651,Techniker/in - Maschinenbautechnik,Techniker/in - Maschinenbau,N,621,,,,J,30783,1604123803,,,,,,25103,1,,,,5852,,,1,,117854
118,Maschinenbaumechaniker/in,Maschinenbaumechaniker/in,N,273,,,,J,30784,1604123803,,,,,,25102,1,,,,5773,,,1,,13865
185,Kunststoff-Formgeber/in,Kunststoff-Formgeber/in,N,151,,,,J,30785,1604123803,,,,,,22102,1,,,,2051,,,1,,35071
117,Maschinenschlosser/in,Maschinenschlosser/in,N,273,,,,J,30786,1604123803,,,,,,25102,1,,,,5784,,,1,,2314
108,Industriemechaniker/in - Maschinen- u. Systemtechn,Industriemechaniker/in - Maschinen- und Systemtech,N,273,,,,J,30787,1604123803,,,,,,25102,1,,,,5766,,,1,,2311
123,Elektroniker/in für Geräte und Systeme,Elektroniker/in - Geräte und Systeme,N,314,,,,J,30788,1604123803,,,,,,26312,1,,,,7371,,,1,,15633
159,Metallbearbeiter/-in,Metallbearbeiter/in,N,323,,,,J,30789,1604123803,,,,,,24202,1,,,,4292,,,1,,28987
511,Industriekaufmann/-frau,Industriekaufmann/-frau,N,781,,,,J,30790,1604123803,,,,,,71302,0,,,,17170,,,1,,7964
782,Qualitätsfachmann/-frau,Qualitätsfachmann/-frau,N,521,,,,J,30791,1604123803,,,,,,27313,1,,,,8518,,,1,,105664
670,Industriemeister/in - Elektrotechnik (Mess/Steuer/,Industriemeister/in - Elektrotechnik (Mess/Steuer/,N,629,,,,J,30792,1604123803,,,,,,26393,1,,,,7836,,,1,,6179
783,Qualitätsingenieur/in,Qualitätsingenieur/in,N,628,,,,J,30793,1604123803,,,,,,27314,1,,,,8540,,,1,,5231
675,Industriemeister/in - Metall,Industriemeister/in - Metall,N,629,,,,J,30794,1604123803,,,,,,24293,1,,,,4844,,,1,,6166
601,Dipl.-Ing. - Elektrotechnik,Ingenieur/in - Elektrotechnik,N,602,,,,J,30795,1604123803,,,,,,26304,1,,,,7296,,,1,,58716
630,Technische/r Zeichner/in - Maschinen- und Anlagent,Technische/r Zeichner/in - Maschinen- und Anlagent,N,635,,,,J,30796,1604123803,,,,,,27212,1,,,,8040,,,1,,6466
800,Industrieelektroniker/in - Gerätetechnik,Industrieelektroniker/in - Gerätetechnik,N,314,,,,J,30797,1604123803,,,,,,26312,0,,,,7460,,,1,,2881
